id,title,artists,pp_artist,k16_cluster
5mwuKwzZJTSWVv7bXAO7Uu,Impressed,['Natalie Imbruglia'],Natalie Imbruglia,2
7H90M7opz2cQfZxPcSJM9t,Intuition,['Natalie Imbruglia'],Natalie Imbruglia,4
1z56gUN9MRCy6lapCC9KMz,City,['Natalie Imbruglia'],Natalie Imbruglia,5
7r3H2gCRFovBxyg5wuSc83,Left Of The Middle,['Natalie Imbruglia'],Natalie Imbruglia,7
6eFgjBTF91pOZTQ8t7xBHv,Tell Mama,['Etta James'],Etta James,0
7zRCm7ru2bfdpJltnlm6eI,Watch Dog,['Etta James'],Etta James,14
1P5Tj780y4gKysIQVTIXzV,The Love Of My Man,['Etta James'],Etta James,1
717j3We3dcA2LGQv1wARE7,I'm Gonna Take What He's Got,['Etta James'],Etta James,1
6NHPTrW2SdGU5mcgyuomUH,The Same Rope,['Etta James'],Etta James,0
19tqWReLPd4VXEetDVArLT,Security,['Etta James'],Etta James,2
0FRaTm2v2ylbAUDHBzTsfW,Steal Away,['Etta James'],Etta James,1
5sqA8LMcuObIcCn8xWyFSp,My Mother-In-Law,['Etta James'],Etta James,6
0QqlWusQ3clb3ZYxZdfb1c,Don't Lose Your Good Thing,['Etta James'],Etta James,1
6rgMZHoQKSkLLtj54Vv9KY,It Hurts Me So Much,['Etta James'],Etta James,1
5JU928QYZ8pB9VHuWzbx69,Just A Little Bit,['Etta James'],Etta James,6
74zLuMblZGPBZm3CHgjrC5,Making Mirrors,['Gotye'],Gotye,10
52JMuYbqES4401sbcCUiuC,Easy Way Out,['Gotye'],Gotye,14
5EjtHY6GPESVSqDrqBWWXY,Eyes Wide Open,['Gotye'],Gotye,6
7tF0g57CG25Ew3GX7wa67l,Smoke And Mirrors,['Gotye'],Gotye,4
1B0oQtoVocvVhiL8Td140Y,I Feel Better,['Gotye'],Gotye,6
7LaNtA4nlbdbevO0Fc2pfm,In Your Light,['Gotye'],Gotye,0
0KBJnzUxJc1tN5rB3OZoPt,State Of The Art,['Gotye'],Gotye,3
3XH0wrtZr8xzzq9kvicByj,"Don’t Worry, We’ll Be Watching You",['Gotye'],Gotye,15
0TFyWAUwNku3dvHbJaly4Z,Giving Me A Chance,['Gotye'],Gotye,13
2zY5sVw2ZNhjdm1cywGYlT,Save Me,['Gotye'],Gotye,3
5fYBOVdmGKEsqK3u5pk2j5,Bronte,['Gotye'],Gotye,7
2eHj0klWkwRQuIrNlPpCPa,I'm Every Woman,['Whitney Houston'],Whitney Houston,3
6M1M6cRtVkm5d0qTzkSEuK,Run to You,['Whitney Houston'],Whitney Houston,7
7lARcL3Gu0wKcPcQ3t9xiF,Queen of the Night - Radio Edit,['Whitney Houston'],Whitney Houston,0
77ld03vIqCjakQkIQBPTVA,Jesus Loves Me,['Whitney Houston'],Whitney Houston,7
0XyJW5i0GSBrKAzs0c2jr1,Even If My Heart Would Break,"['Kenny G', 'Aaron Neville']",Kenny G / Aaron Neville,4
2uu2bgubcIjivmsVbYgivF,Someday (I'm Coming Back),['Lisa Stansfield'],Lisa Stansfield,2
5A5Ej8R3QY9xb98dmVowmL,It's Gonna Be A Lovely Day,['S.O.U.L. S.Y.S.T.E.M.'],S.O.U.L. S.Y.S.T.E.M.,14
3cbHPZT4Dl9WJ6QsTvE9Dc,"What's So Funny 'Bout Peace, Love And Understanding",['Curtis Stigers'],Curtis Stigers,4
7pFzrCFu9rDXwpACjPM18q,Theme From The Bodyguard,['Alan Silvestri'],Alan Silvestri,10
1QxMrnkL1MwMz1aOk54rFa,Trust in Me,['Joe Cocker'],Joe Cocker,0
6REzxWQGi3Kpun4SLl6mwI,Old Time Rock n Roll,['The Righteous Brothers'],The Righteous Brothers,14
7ES3QjxzmFKMJWt90giLsv,(You’re My) Soul & Inspiration,['The Righteous Brothers'],The Righteous Brothers,14
2ZztU8ewKIh2DFH0Ro7H7I,Ebb Tide,['The Righteous Brothers'],The Righteous Brothers,1
2xi6ukpkPYgn5fqhrcv1Rp,Georgia on My Mind,['The Righteous Brothers'],The Righteous Brothers,1
3XIqm7rsc2shsSm8JqEA7U,Guess Who?,['The Righteous Brothers'],The Righteous Brothers,1
3gQkVEu28rs0hvPD49Fnzo,Just Once In My Life,['The Righteous Brothers'],The Righteous Brothers,14
1TKcoGqQV82fybDNt6Kmgc,Rock & Roll Heaven,['The Righteous Brothers'],The Righteous Brothers,14
4qXo7fYjaTwWmL5tzpLKNI,Brown Eyed Woman,['The Righteous Brothers'],The Righteous Brothers,14
6CjtbSQEay7pVgPATWEKsU,Soul Man,['The Righteous Brothers'],The Righteous Brothers,14
0GfLCd7A1ljMJ4vB6SHGvC,Unchained Melody,['The Righteous Brothers'],The Righteous Brothers,14
0006PpnEOPCCxToaXEEFnQ,Justine,['The Righteous Brothers'],The Righteous Brothers,14
5w9n1MR8Egcmy32TYYjlB5,Ko-Ko Joe,['The Righteous Brothers'],The Righteous Brothers,14
6nlyrwJtGlp33AzXM6TaXU,Little Latin Lupe Lu,['The Righteous Brothers'],The Righteous Brothers,14
5GWwKMwwq7Fd99slzrL23n,My Babe,['The Righteous Brothers'],The Righteous Brothers,14
7GzisMgxLZgCi0Ed3yTw9y,You’ve Lost That Lovin Feelin’,['The Righteous Brothers'],The Righteous Brothers,14
6t65JzLqOjiUv5SATFFa6M,Old Time Rock n Roll,['The Righteous Brothers'],The Righteous Brothers,14
5s3zYvzEpBk0WbG6AgFUBK,Going To A Go-Go,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,6
3nsJGZ5RV2ZHkbKvD771gU,Ooo Baby Baby,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,1
4oHcMcbUjbPK7zKyx4dQln,My Girl Has Gone,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,7
4QK0hk76YvEaklN2iZY4bi,In Case You Need Love,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,6
2SEpfEqxeuACELl94pZSCB,Choosey Beggar,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,7
6dcZiujlB3HkKk1c4AoRE2,Since You Won My Heart,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,9
6UbTEJTYdfDq0KSHT6UzEY,From Head To Toe,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,2
1WYNP8n9gVb2Ajn9mrMrW9,All That's Good,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,7
2zjolxqyzR6e40hdgQ0oRH,My Baby Changes Like The Weather,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,14
2pByRkMtcBMMb7jn0jucpZ,Let Me Have Some,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,14
75EBphXiLQgeFspAYTaqiq,A Fork In The Road,['Smokey Robinson & The Miracles'],Smokey Robinson & The Miracles,7
3DYM9tNHzZdJGEBRMeeGUt,"dreaming, part 1",['Evermore'],Evermore,10
0eDLgvIZyDgaI3L2mDa9z7,It’s Too Late,['Evermore'],Evermore,3
4iWD6QY0GmZmmcazOYsxxZ,This Unavoidable Thing Between Us,['Evermore'],Evermore,5
4N6SMJvAS2Omc9evrQuYl2,For One Day,['Evermore'],Evermore,3
56i12gMTm9rlnPejMWbMlD,"dreaming, part 2",['Evermore'],Evermore,7
6qy2mJxS5VZqNFLj4jChQG,Are You Satisfied???,['Evermore'],Evermore,5
1DTuksns9VJ4R4iuys6vW4,Come To Nothing,['Evermore'],Evermore,3
072HUGBmjGjN5cPFYXMS0S,Dreams Call Out To Me,['Evermore'],Evermore,5
7IPPO6zjP6U4aFPMRkjsEE,Without Your Smile,['Evermore'],Evermore,3
0xY7TMKRJ2LoDyOeWyVJHj,Into The Ocean (Calling You),['Evermore'],Evermore,3
6Zl7tJMmuTcpfSN5QkmptU,Know It's True,['Evermore'],Evermore,3
3D2LUrYhta1AU1YsI1tJqb,Sunshine,['Evermore'],Evermore,7
2fEVGPPP75bxD23kYzofH3,Everyone (Moving On),['Evermore'],Evermore,3
2PLo8T3kGE9URFvBy3tUdt,It Was Always You,['Maroon 5'],Maroon 5,6
1m39XApxHXb2UkGItyyIUO,Unkiss Me,['Maroon 5'],Maroon 5,5
13YQutqrAhT5iX9HOctlu5,Leaving California,['Maroon 5'],Maroon 5,5
6SCh4BKjB0il6zKgtSiasQ,In Your Pocket,['Maroon 5'],Maroon 5,3
42QGdFKDbWMDvmgsYq35HP,New Love,['Maroon 5'],Maroon 5,2
4J1moeUmaCFMfHNyCeUpkN,Coming Back For You,['Maroon 5'],Maroon 5,3
2dyyOwe0KxTZTJjjXDeLmU,Feelings,['Maroon 5'],Maroon 5,2
5AnZXEB5IVhU57cJdOtJeX,My Heart Is Open,"['Maroon 5', 'Gwen Stefani']",Maroon 5 / Gwen Stefani,7
5uVji14OWpj9HMKLXdhjAv,This Summer,['Maroon 5'],Maroon 5,14
1TEL6MlSSVLSdhOSddidlJ,needy,['Ariana Grande'],Ariana Grande,7
4uTvPEr01pjTbZgl7jcKBD,NASA,['Ariana Grande'],Ariana Grande,11
2hloaUoRonYssMuqLCBLTX,bloodline,['Ariana Grande'],Ariana Grande,2
